Group,Population,Male,Female,17 and under,Pop 18+,Male 18+,Female 18+,Pop 18-64,Male 18-64,Female 18-64,Pop 65+,Male 65+,Female 65+
Total US,325719178,49.20%,50.80%,22.60%,252070495,48.70%,51.30%,201254783,49.78%,50.22%,50815712,44.30%,55.70%
Twitter,69000000,56.00%,44.00%,12.00%,60720000,49.28%,38.72%,55890000,45.36%,35.64%,4830000,3.92%,3.08%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,21%,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,60720000,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,0.88,,,,,,,,,,,,
